workload,threads,execution_time,normalized_execution_time
blackscholes,1,86.58,1.0
blackscholes,2,48.76,0.56
blackscholes,4,29.47,0.34
blackscholes,8,22.55,0.26
canneal,1,191.06,1.0
canneal,2,116.0,0.61
canneal,4,74.68,0.39
canneal,8,61.96,0.32
dedup,1,14.3,1.0
dedup,2,7.64,0.53
dedup,4,5.05,0.35
dedup,8,4.26,0.3
ferret,1,226.82,1.0
ferret,2,115.52,0.51
ferret,4,64.45,0.28
ferret,8,56.29,0.25
freqmine,1,346.73,1.0
freqmine,2,174.6,0.5
freqmine,4,88.21,0.25
freqmine,8,71.92,0.21
radix,1,41.03,1.0
radix,2,20.62,0.5
radix,4,10.5,0.26
radix,8,6.9,0.17
vips,1,65.71,1.0
vips,2,33.0,0.5
vips,4,17.05,0.26
vips,8,16.11,0.25
